"1992-1996","TONE ANDERLIČ","LDS"
"1992-1996","MAG. FRANC AVBERŠEK","ZL"
"1992-1996","ROBERTO BATTELLI","POSLANEC ITALIJANSKE NARODNE SKUPNOSTI"
"1992-1996","DUŠAN BAVDEK","ZL"
"1992-1996","IGOR BAVČAR","D, LDS"
"1992-1996","GABRIJEL BERLIČ","LDS"
"1992-1996","LJERKA BIZILJ","LDS, SAMOSTOJNA POSLANKA"
"1992-1996","DR. RADO BOHINC*","ZL"
"1992-1996","DR. FRANCE BUČAR","D->DS"
"1992-1996","DR. VIDA ČADONIČ ŠPELIČ*","SKD"
"1992-1996","FRANC ČERNELIČ","SKD"
"1992-1996","MAG. DRAGAN ČERNETIČ","LDS"
"1992-1996","POLONCA DOBRAJC","SNS"
"1992-1996","DR. JANEZ DRNOVŠEK*","LDS"
"1992-1996","GEZA DŽUBAN","LDS"
"1992-1996","BRANE ERŽEN","SNS, SSP, SAMOSTOJNI POSLANEC"
"1992-1996","STANE FRIM","SKD"
"1992-1996","MIROSLAV GERŽINA","SKD"
"1992-1996","BENJAMIN HENIGMAN","SKD"
"1992-1996","FRANC (FERI) HORVAT","ZL"
"1992-1996","IVO HVALICA","SDSS->SDS"
"1992-1996","JOŽE JAGODNIK","ZL"
"1992-1996","BRANKO JANC","LDS"
"1992-1996","JANEZ JANČAR","LDS"
"1992-1996","JANEZ JANŠA*","SDSS->SDS"
"1992-1996","ZMAGO JELINČIČ","SNS"
"1992-1996","MIRAN JERIČ","LDS"
"1992-1996","MAG. JANEZ JUG","LDS, SAMOSTOJNI POSLANEC"
"1992-1996","METKA KARNER LUKAČ","SLS"
"1992-1996","MAG. JANEZ KOCIJANČIČ","ZL"
"1992-1996","ŠTEFAN KOCIPER","SKD"
"1992-1996","JOŽEF KOCUVAN","SKD"
"1992-1996","MAG. JANEZ KOPAČ","LDS"
"1992-1996","JOŽEF KOPŠE","SNS,SSP"
"1992-1996","BOJAN KOROŠEC","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","DR. MATEJA KOŽUN NOVAK","ZL"
"1992-1996","DR. DAVORIN KRAČUN*","LDS"
"1992-1996","DR. LEV KREFT","ZL"
"1992-1996","RAFAEL KUŽNIK","SNS"
"1992-1996","SAŠO LAP","SNS, SSP, SND"
"1992-1996","MAKSIMILJAN LAVRINC","LDS"
